condition,condition_label,N,MT_single,TPe_single,ER_single,MT_included,TPe_included,MT_omission_reason,TPe_omission_reason
width_wide,Wide-width A1000 W50 ID20 / C1,161,0.69,35.50247363125016,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,162,0.71,34.66468610449531,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,163,0.743,93.03521940290656,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,164,0.783,28.358488217942078,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,165,0.747,32.52483732695383,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,166,0.739,36.021717825094406,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,167,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,168,0.511,102.07508986615922,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,169,0.987,43.54299551353048,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,170,0.778,15.107218367788729,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,171,0.673,55.85299698843698,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,172,0.907,17.60705668484324,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,173,0.629,30.776756991576576,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,174,0.758,24.757526133605065,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,175,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,176,0.839,32.708646833115196,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,177,0.606,30.244464396517373,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,178,0.554,69.14849014258954,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,179,0.566,70.89494292769758,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,180,,,100.0,False,False,not_performance_trial,not_performance_trial
